Distance_to_2019,LandCover_2019,LandCover_2024
0,2,1
10,1,1
0,2,1
0,2,1
20,1,1
22.36067977,1,1
14.14213562,1,1
10,1,1
22.36067977,1,1
10,1,1
14.14213562,1,1
22.36067977,1,1
50.99019514,1,1
0,2,1
41.23105626,1,1
14.14213562,1,1
10,1,1
22.36067977,1,1
31.6227766,1,1
31.6227766,1,1
14.14213562,1,1
22.36067977,1,1
0,2,1
10,1,1
30,1,1
22.36067977,1,1
0,2,1
58.30951895,1,1
0,2,1
22.36067977,1,1
22.36067977,1,1
28.28427125,1,1
31.6227766,1,1
22.36067977,1,1
10,1,1
28.28427125,1,1
10,1,1
0,2,1
20,1,1
28.28427125,1,1
0,2,1
10,1,1
10,1,1
30,1,1
31.6227766,1,1
14.14213562,1,1
0,2,1
0,2,1
22.36067977,1,1
0,2,1
14.14213562,1,1
10,1,1
31.6227766,1,1
0,2,1
139.2838828,1,1
31.6227766,1,1
10,1,1
22.36067977,1,1
28.28427125,1,1
0,2,1
10,1,1
10,1,1
36.05551275,1,1
36.05551275,1,1
0,2,1
0,2,1
76.15773106,1,1
36.05551275,1,1
14.14213562,1,1
50,1,1
28.28427125,1,1
0,2,1
14.14213562,1,1
20,1,1
53.85164807,1,1
31.6227766,1,1
10,1,1
31.6227766,1,1
181.1077028,1,1
30,1,1
30,1,1
10,1,1
22.36067977,1,1
20,1,1
0,2,1
42.42640687,1,1
20,1,1
14.14213562,1,1
10,1,1
14.14213562,1,1
22.36067977,1,1
72.80109889,1,1
10,1,1
98.48857802,1,1
40,1,1
10,1,1
22.36067977,1,1
20,1,1
22.36067977,1,1
10,1,1
0,2,1
28.28427125,1,1
10,1,1
72.80109889,1,1
30,1,1
0,2,1
0,2,1
22.36067977,1,1
10,1,1
0,2,1
67.08203932,1,1
14.14213562,1,1
67.08203932,1,1
10,1,1
10,1,1
0,2,1
0,2,1
20,1,1
14.14213562,1,1
14.14213562,1,1
22.36067977,1,1
20,1,1
56.56854249,1,1
10,1,1
41.23105626,1,1
0,2,1
31.6227766,1,1
10,1,1
20,1,1
22.36067977,1,1
50,1,1
10,1,1
20,1,1
36.05551275,1,1
22.36067977,1,1
20,1,1
20,1,1
14.14213562,1,1
10,1,1
14.14213562,1,1
0,2,1
10,1,1
10,1,1
0,2,1
10,1,1
14.14213562,1,1
20,1,1
41.23105626,1,1
53.85164807,1,1
22.36067977,1,1
0,2,1
50.99019514,1,1
20,1,1
0,2,1
22.36067977,1,1
20,1,1
0,2,1
0,2,1
0,2,1
22.36067977,1,1
20,1,1
10,1,1
28.28427125,1,1
0,2,1
20,1,1
0,2,1
10,1,1
20,1,1
10,1,1
10,1,1
14.14213562,1,1
42.42640687,1,1
20,1,1
10,1,1
14.14213562,1,1
10,1,1
28.28427125,1,1
14.14213562,1,1
36.05551275,1,1
22.36067977,1,1
22.36067977,1,1
14.14213562,1,1
41.23105626,1,1
0,2,1
0,2,1
14.14213562,1,1
10,1,1
10,1,1
10,1,1
36.05551275,1,1
41.23105626,1,1
10,1,1
10,1,1
10,1,1
10,1,1
10,1,1
22.36067977,1,1
14.14213562,1,1
44.72135955,1,1
22.36067977,1,1
36.05551275,1,1
10,1,1
36.05551275,1,1
28.28427125,1,1
0,2,1
22.36067977,1,1
20,1,1
10,1,1
10,1,1
10,1,1
10,1,1
0,2,1
10,1,1
10,1,1
80.62257748,1,1
31.6227766,1,1
60,1,1
10,1,1
20,1,1
10,1,1
20,1,1
10,1,1
14.14213562,1,1
85.44003745,1,1
31.6227766,1,1
20,1,1
36.05551275,1,1
10,1,1
10,1,1
28.28427125,1,1
41.23105626,1,1
10,1,1
0,2,1
10,1,1
36.05551275,1,1
22.36067977,1,1
20,1,1
10,1,1
0,2,1
36.05551275,1,1
10,1,1
36.05551275,1,1
20,1,1
0,2,1
10,1,1
10,1,1
28.28427125,1,1
20,1,1
30,1,1
0,2,1
22.36067977,1,1
36.05551275,1,1
20,1,1
10,1,1
0,2,1
22.36067977,1,1
10,1,1
10,1,1
304.1381265,1,1
10,1,1
20,1,1
82.46211251,1,1
10,1,1
20,1,1
14.14213562,1,1
10,1,1
64.03124237,1,1
0,2,1
31.6227766,1,1
40,1,1
10,1,1
36.05551275,1,1
14.14213562,1,1
0,2,1
0,2,1
30,1,1
44.72135955,1,1
76.15773106,1,1
22.36067977,1,1
64.03124237,1,1
20,1,1
10,1,1
31.6227766,1,1
50,1,1
20,1,1
10,1,1
10,1,1
10,1,1
10,1,1
42.42640687,1,1
22.36067977,1,1
10,1,1
44.72135955,1,1
41.23105626,1,1
30,1,1
30,1,1
10,1,1
0,2,1
14.14213562,1,1
0,2,1
14.14213562,1,1
14.14213562,1,1
14.14213562,1,1
0,2,1
0,2,1
20,1,1
0,2,1
36.05551275,1,1
20,1,1
50,1,1
40,1,1
31.6227766,1,1
63.2455532,1,1
31.6227766,1,1
31.6227766,1,1
10,1,1
30,1,1
30,1,1
0,2,1
10,1,1
70.71067812,1,1
14.14213562,1,1
0,2,1
10,1,1
28.28427125,1,1
22.36067977,1,1
28.28427125,1,1
0,2,1
40,1,1
22.36067977,1,1
31.6227766,1,1
14.14213562,1,1
41.23105626,1,1
31.6227766,1,1
0,2,1
22.36067977,1,1
0,2,1
50.99019514,1,1
0,2,1
10,1,1
22.36067977,1,1
0,2,1
0,2,1
10,1,1
0,2,1
10,1,1
20,1,1
0,2,1
10,1,1
10,1,1
10,1,1
10,1,1
10,1,1
0,2,1
20,1,1
0,2,1
30,1,1
30,1,1
0,2,1
0,2,1
22.36067977,1,1
0,2,1
10,1,1
0,2,1
14.14213562,1,1
0,2,1
22.36067977,1,1
14.14213562,1,1
14.14213562,1,1
22.36067977,1,1
40,1,1
20,1,1
10,1,1
10,1,1
20,1,1
0,2,1
10,1,1
10,1,1
0,2,1
0,2,1
31.6227766,1,1
10,1,1
20,1,1
20,1,1
0,2,1
10,1,1
20,1,1
0,2,1
40,1,1
42.42640687,1,1
10,1,1
40,1,1
0,2,1
20,1,1
36.05551275,1,1
36.05551275,1,1
20,1,1
22.36067977,1,1
14.14213562,1,1
20,1,1
28.28427125,1,1
10,1,1
20,1,1
10,1,1
20,1,1
0,2,1
14.14213562,1,1
10,1,1
31.6227766,1,1
22.36067977,1,1
10,1,1
0,2,1
10,1,1
14.14213562,1,1
22.36067977,1,1
0,2,1
50,1,1
10,1,1
31.6227766,1,1
10,1,1
20,1,1
0,2,1
10,1,1
0,2,1
14.14213562,1,1
28.28427125,1,1
42.42640687,1,1
22.36067977,1,1
31.6227766,1,1
28.28427125,1,1
44.72135955,1,1
0,2,1
63.2455532,1,1
36.05551275,1,1
10,1,1
22.36067977,1,1
20,1,1
10,1,1
10,1,1
20,1,1
20,1,1
10,1,1
20,1,1
28.28427125,1,1
20,1,1
10,1,1
0,2,1
10,1,1
14.14213562,1,1
10,1,1
0,2,1
10,1,1
413.4005322,1,1
44.72135955,1,1
0,2,1
0,2,1
10,1,1
22.36067977,1,1
22.36067977,1,1
10,1,1
10,1,1
0,2,1
0,2,1
0,2,1
0,2,1
30,1,1
30,1,1
0,2,1
80.62257748,1,1
10,1,1
22.36067977,1,1
0,2,1
0,2,1
10,1,1
14.14213562,1,1
10,1,1
22.36067977,1,1
31.6227766,1,1
141.4213562,1,1
22.36067977,1,1
20,1,1
0,2,1
10,1,1
10,1,1
30,1,1
0,2,1
10,1,1
0,2,1
22.36067977,1,1
14.14213562,1,1
20,1,1
63.2455532,1,1
42.42640687,1,1
31.6227766,1,1
10,1,1
0,2,1
0,2,1
0,2,1
14.14213562,1,1
20,1,1
36.05551275,1,1
0,2,1
0,2,1
10,1,1
10,1,1
30,1,1
0,2,1
14.14213562,1,1
31.6227766,1,1
20,1,1
14.14213562,1,1
20,1,1
10,1,1
0,2,1
14.14213562,1,1
22.36067977,1,1
0,2,1
0,2,1
22.36067977,1,1
41.23105626,1,1
30,1,1
22.36067977,1,1
28.28427125,1,1
14.14213562,1,1
22.36067977,1,1
0,2,1
10,1,1
0,2,1
20,1,1
36.05551275,1,1
36.05551275,1,1
22.36067977,1,1
10,1,1
0,2,1
22.36067977,1,1
0,2,1
31.6227766,1,1
20,1,1
14.14213562,1,1
28.28427125,1,1
30,1,1
58.30951895,1,1
14.14213562,1,1
10,1,1
14.14213562,1,1
28.28427125,1,1
0,2,1
0,2,1
30,1,1
10,1,1
84.85281374,1,1
22.36067977,1,1
0,2,1
20,1,1
36.05551275,1,1
30,1,1
10,1,1
0,2,1
50,1,1
10,1,1
10,1,1
14.14213562,1,1
22.36067977,1,1
14.14213562,1,1
10,1,1
0,2,1
0,2,1
10,1,1
31.6227766,1,1
0,2,1
14.14213562,1,1
89.4427191,1,1
10,1,1
0,2,1
0,2,1
0,2,1
31.6227766,1,1
10,1,1
22.36067977,1,1
10,1,1
20,1,1
0,2,1
28.28427125,1,1
36.05551275,1,1
20,1,1
14.14213562,1,1
0,2,1
30,1,1
20,1,1
28.28427125,1,1
31.6227766,1,1
158.113883,1,1
184.3908891,1,1
0,2,1
22.36067977,1,1
14.14213562,1,1
10,1,1
10,1,1
10,1,1
0,2,1
0,2,1
0,2,1
10,1,1
10,1,1
0,2,1
253.179778,1,1
0,2,1
14.14213562,1,1
0,2,1
0,2,1
0,2,1
10,1,1
22.36067977,1,1
10,1,1
0,2,1
0,2,1
0,2,1
20,1,1
80.62257748,1,1
14.14213562,1,1
10,1,1
10,1,1
0,2,1
0,2,1
56.56854249,1,1
0,2,1
44.72135955,1,1
14.14213562,1,1
10,1,1
41.23105626,1,1
0,2,1
56.56854249,1,1
10,1,1
44.72135955,1,1
10,1,1
20,1,1
0,2,1
31.6227766,1,1
40,1,1
10,1,1
28.28427125,1,1
0,2,1
14.14213562,1,1
20,1,1
10,1,1
20,1,1
22.36067977,1,1
10,1,1
22.36067977,1,1
10,1,1
0,2,1
22.36067977,1,1
10,1,1
10,1,1
10,1,1
0,2,1
31.6227766,1,1
0,2,1
10,1,1
41.23105626,1,1
14.14213562,1,1
20,1,1
0,2,1
0,2,1
14.14213562,1,1
0,2,1
31.6227766,1,1
10,1,1
36.05551275,1,1
14.14213562,1,1
0,2,1
10,1,1
0,2,1
40,1,1
20,1,1
0,2,1
20,1,1
0,2,1
14.14213562,1,1
40,1,1
22.36067977,1,1
10,1,1
64.03124237,1,1
22.36067977,1,1
14.14213562,1,1
36.05551275,1,1
10,1,1
10,1,1
20,1,1
0,2,1
28.28427125,1,1
80.62257748,1,1
22.36067977,1,1
22.36067977,1,1
14.14213562,1,1
0,2,1
20,1,1
36.05551275,1,1
0,2,1
10,1,1
36.05551275,1,1
10,1,1
14.14213562,1,1
10,1,1
0,2,1
0,2,1
0,2,1
14.14213562,1,1
10,1,1
0,2,1
20,1,1
10,1,1
0,2,1
20,1,1
0,2,1
20,1,1
0,2,1
20,1,1
44.72135955,1,1
0,2,1
0,2,1
0,2,1
20,1,1
31.6227766,1,1
0,2,1
10,1,1
10,1,1
0,2,1
28.28427125,1,1
10,1,1
0,2,1
20,1,1
22.36067977,1,1
22.36067977,1,1
28.28427125,1,1
30,1,1
0,2,1
30,1,1
22.36067977,1,1
0,2,1
20,1,1
0,2,1
30,1,1
98.48857802,1,1
0,2,1
44.72135955,1,1
22.36067977,1,1
20,1,1
42.42640687,1,1
22.36067977,1,1
14.14213562,1,1
10,1,1
10,1,1
22.36067977,1,1
10,1,1
10,1,1
0,2,1
0,2,1
10,1,1
22.36067977,1,1
22.36067977,1,1
40,1,1
10,1,1
14.14213562,1,1
14.14213562,1,1
22.36067977,1,1
10,1,1
0,2,1
36.05551275,1,1
14.14213562,1,1
60.8276253,1,1
10,1,1
0,2,1
22.36067977,1,1
64.03124237,1,1
10,1,1
165.5294536,1,1
0,2,1
10,1,1
10,1,1
0,2,1
0,2,1
0,2,1
31.6227766,1,1
20,1,1
143.1782106,1,1
44.72135955,1,1
0,2,1
10,1,1
14.14213562,1,1
14.14213562,1,1
10,1,1
22.36067977,1,1
10,1,1
10,1,1
36.05551275,1,1
10,1,1
72.11102551,1,1
10,1,1
31.6227766,1,1
36.05551275,1,1
10,1,1
10,1,1
10,1,1
36.05551275,1,1
0,2,1
20,1,1
0,2,1
10,1,1
31.6227766,1,1
10,1,1
22.36067977,1,1
0,2,1
0,2,1
0,2,1
111.8033989,1,1
30,1,1
20,1,1
0,2,1
0,2,1
14.14213562,1,1
10,1,1
40,1,1
10,1,1
0,2,1
30,1,1
10,1,1
14.14213562,1,1
10,1,1
28.28427125,1,1
14.14213562,1,1
20,1,1
20,1,1
10,1,1
14.14213562,1,1
50,1,1
22.36067977,1,1
20,1,1
36.05551275,1,1
0,2,1
28.28427125,1,1
20,1,1
0,2,1
14.14213562,1,1
41.23105626,1,1
0,2,1
92.19544457,1,1
14.14213562,1,1
10,1,1
0,2,1
20,1,1
0,2,1
10,1,1
10,1,1
22.36067977,1,1
0,2,1
30,1,1
20,1,1
36.05551275,1,1
30,1,1
14.14213562,1,1
30,1,1
10,1,1
0,2,1
53.85164807,1,1
22.36067977,1,1
14.14213562,1,1
14.14213562,1,1
10,1,1
20,1,1
14.14213562,1,1
28.28427125,1,1
0,2,1
36.05551275,1,1
0,2,1
10,1,1
28.28427125,1,1
14.14213562,1,1
40,1,1
20,1,1
0,2,1
10,1,1
0,2,1
28.28427125,1,1
22.36067977,1,1
10,1,1
10,1,1
31.6227766,1,1
0,2,1
10,1,1
0,2,1
0,2,1
30,1,1
36.05551275,1,1
53.85164807,1,1
0,2,1
14.14213562,1,1
28.28427125,1,1
30,1,1
0,2,1
22.36067977,1,1
0,2,1
14.14213562,1,1
10,1,1
76.15773106,1,1
10,1,1
10,1,1
0,2,1
14.14213562,1,1
0,2,1
10,1,1
36.05551275,1,1
20,1,1
40,1,1
10,1,1
10,1,1
70,1,1
20,1,1
40,1,1
28.28427125,1,1
41.23105626,1,1
10,1,1
10,1,1
14.14213562,1,1
22.36067977,1,1
10,1,1
10,1,1
28.28427125,1,1
10,1,1
10,1,1
14.14213562,1,1
22.36067977,1,1
0,2,1
0,2,1
30,1,1
0,2,1
41.23105626,1,1
0,2,1
10,1,1
22.36067977,1,1
10,1,1
20,1,1
20,1,1
31.6227766,1,1
10,1,1
10,1,1
22.36067977,1,1
20,1,1
0,2,1
40,1,1
20,1,1
10,1,1
14.14213562,1,1
