Distance_to_2019,Distance_to_2024,LandCover_2019,LandCover_2024,latitude,longitude
10,30,1,1,-8.827879044,115.1944274
20,0,1,2,-8.795180368,115.1435828
20,20,1,1,-8.83704186,115.1289402
10,0,1,2,-8.848540296,115.1600219
22.36067977,10,1,1,-8.831292642,115.1613694
14.14213562,0,1,2,-8.81000257,115.1696339
14.14213562,0,1,2,-8.827070561,115.2131124
14.14213562,28.28427125,1,1,-8.832011295,115.147176
10,10,1,1,-8.806409309,115.1590338
22.36067977,36.05551275,1,1,-8.832101126,115.1608304
10,10,1,1,-8.835963882,115.1896663
10,0,1,2,-8.795360031,115.1694542
14.14213562,28.28427125,1,1,-8.765086806,115.2186819
22.36067977,40,1,1,-8.81530263,115.140259
50.99019514,31.6227766,1,1,-8.810272065,115.1203164
41.23105626,220.2271555,1,1,-8.77299198,115.1879595
14.14213562,10,1,1,-8.839826638,115.1906545
10,10,1,1,-8.811529706,115.1037874
22.36067977,31.6227766,1,1,-8.790149802,115.1363064
31.6227766,10,1,1,-8.784310753,115.1424149
31.6227766,28.28427125,1,1,-8.776315747,115.1692746
14.14213562,20,1,1,-8.817368756,115.197302
22.36067977,10,1,1,-8.823117973,115.1781679
10,10,1,1,-8.810721222,115.2309888
30,22.36067977,1,1,-8.818626397,115.1346894
22.36067977,14.14213562,1,1,-8.806139814,115.1623575
20,0,1,2,-8.829496012,115.199458
58.30951895,20,1,1,-8.803355037,115.1172621
10,0,1,2,-8.788712498,115.1569676
22.36067977,10,1,1,-8.846025013,115.1328928
22.36067977,20,1,1,-8.813955157,115.1522066
28.28427125,28.28427125,1,1,-8.815033136,115.1411573
31.6227766,10,1,1,-8.838838491,115.1762814
22.36067977,28.28427125,1,1,-8.838479165,115.1540032
10,10,1,1,-8.755474832,115.2213769
28.28427125,22.36067977,1,1,-8.817728082,115.1995478
10,10,1,1,-8.806678804,115.2229938
20,10,1,1,-8.830394327,115.0943551
28.28427125,14.14213562,1,1,-8.775686926,115.1674779
10,31.6227766,1,1,-8.828148539,115.2193107
10,80.62257748,1,1,-8.809014423,115.213831
30,14.14213562,1,1,-8.82940618,115.1954155
31.6227766,72.80109889,1,1,-8.786556541,115.221287
10,0,1,2,-8.812068695,115.18769
14.14213562,14.14213562,1,1,-8.787904014,115.1497811
22.36067977,50,1,1,-8.797246493,115.214909
14.14213562,10,1,1,-8.79823464,115.2163463
10,70.71067812,1,1,-8.820602691,115.206914
10,0,1,2,-8.818716228,115.1619084
14.14213562,0,1,2,-8.810182233,115.1761018
31.6227766,36.05551275,1,1,-8.803444869,115.1912833
10,0,1,2,-8.846564002,115.1569676
139.2838828,382.0994635,1,1,-8.785029405,115.2180531
20,0,1,2,-8.833268936,115.1027094
22.36067977,0,1,2,-8.821590837,115.1305572
31.6227766,10,1,1,-8.805960151,115.2065547
10,20,1,1,-8.809553413,115.1169028
